Team,First Name,Last Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Catching,Carrying,Throw Power,Throw Accuracy,Kick Power,Kick Accuracy,Run Block,Pass Block,Tackle,Jumping,Return,Injury,Stamina,Toughness,Trucking,Elusiveness,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Impact Blocking,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Spectacular Catch,Catch in Traffic,Route Running,Hit Power,Press,Release,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Play Action,Throw on Run
Bears,Tyler,Clutts,FB,66,69,74,76,67,68,58,72,30,30,25,25,67,56,42,62,30,95,79,75,74,37,55,74,55,45,73,15,15,15,49,20,12,15,30,35,44,20,10,42,5,5,5,5,5
Bears,Evan,Rodriguez,FB,61,83,75,62,82,60,82,75,29,25,22,12,57,52,45,87,10,93,86,58,67,54,80,60,65,83,67,10,10,60,64,35,15,17,69,78,66,55,10,66,15,10,5,5,10
Bears,Chris,Conte,FS,72,89,86,65,77,62,55,60,25,25,20,20,45,45,71,83,10,93,85,77,49,45,25,35,55,60,45,48,46,60,85,66,53,75,55,45,15,66,77,12,10,10,10,10,10
Bears,Anthony,Walters,FS,62,87,89,67,84,42,55,35,30,30,25,25,45,45,65,86,35,90,85,75,25,45,52,33,66,67,45,37,41,62,72,55,55,69,35,44,20,72,66,15,15,10,10,15,15
Bears,Matt,Forte,HB,93,92,93,73,92,90,86,90,30,30,25,25,45,55,20,80,20,90,99,85,78,90,97,79,88,90,40,10,10,11,40,20,15,20,70,75,82,20,20,60,35,30,20,15,15
Bears,Michael,Bush,HB,83,86,87,81,82,80,74,96,69,60,20,22,45,60,60,75,25,84,94,88,94,65,88,93,74,77,60,45,55,60,65,35,18,45,25,40,66,25,15,50,61,56,44,28,60
Bears,Kahlil,Bell,HB,69,85,90,68,84,60,72,74,35,33,25,25,40,50,25,75,70,90,85,85,72,82,75,72,83,74,49,10,10,11,40,20,15,15,40,55,58,20,25,60,35,30,20,15,15
Bears,Armando,Allen,HB,64,83,91,63,86,54,77,73,30,30,25,21,35,45,35,73,45,81,85,75,63,77,69,65,77,83,44,20,20,25,17,18,12,12,65,70,64,25,25,60,10,10,10,10,10
Bears,Harvey,Unga,HB,58,74,75,76,75,56,66,78,21,21,39,40,66,52,52,64,25,87,75,78,86,44,72,85,69,72,64,25,25,42,56,25,10,30,56,65,55,67,36,48,5,5,5,5,5
Bears,Alvester,Alexander,HB,57,93,95,62,87,42,74,69,33,22,25,21,30,33,35,88,70,87,83,67,51,70,65,48,74,66,35,20,20,25,17,18,12,12,70,68,58,25,25,44,10,10,10,10,10
Bears,Robbie,Gould,K,95,55,54,25,52,90,15,40,29,20,92,95,20,16,23,27,10,90,75,65,10,27,10,10,10,10,20,10,10,23,21,19,11,14,12,10,10,12,10,12,35,30,25,20,20
Bears,Israel,Idonije,LE,80,73,81,87,69,79,28,40,13,27,29,12,45,45,91,52,10,88,78,85,10,17,10,10,10,10,45,81,45,89,77,78,22,23,12,10,10,53,10,12,5,5,5,5,5
Bears,Shea,McClellin,LE,76,83,86,67,74,54,55,45,12,14,16,17,45,45,77,81,10,91,90,75,40,30,35,39,45,21,45,66,88,71,91,72,50,63,20,20,20,68,50,12,5,5,5,5,5
Bears,Chauncey,Davis,LE,73,72,82,69,70,72,30,40,19,9,8,7,45,45,75,80,10,92,85,86,10,34,10,10,10,10,45,58,79,76,83,68,29,24,15,15,15,54,17,15,5,5,5,5,5
Bears,Cheta,Ozougwu,LE,64,74,87,65,75,46,51,45,25,25,20,20,45,45,77,74,10,90,83,74,33,21,21,25,10,15,45,74,76,62,88,38,46,64,20,24,15,83,40,25,5,5,5,5,5
Bears,Chris,Spencer,LG,77,59,75,86,59,73,32,40,12,10,11,15,85,76,41,44,10,90,85,90,20,35,10,10,10,10,81,30,30,41,35,15,12,14,15,15,15,20,10,15,5,5,5,5,5
Bears,Edwin,Williams,LG,73,47,62,83,55,64,15,40,20,12,14,11,86,79,13,24,10,88,78,75,10,23,10,10,10,10,82,10,10,13,14,15,17,20,12,10,10,12,10,12,5,5,5,5,5
Bears,Nick,Roach,LOLB,75,83,84,68,80,75,50,55,30,30,22,22,45,45,83,70,10,82,86,85,30,36,30,35,15,15,45,60,70,77,87,76,55,65,40,25,15,76,45,15,5,7,5,7,5
Bears,Geno,Hayes,LOLB,74,84,88,65,86,73,63,57,25,25,20,20,45,45,78,86,5,92,95,57,25,30,25,35,15,30,45,53,71,66,90,73,64,76,15,15,15,83,55,12,5,5,5,5,5
Bears,Jabara,Williams,LOLB,61,82,86,62,84,51,55,66,16,26,23,18,45,45,75,74,10,89,85,73,74,62,69,65,72,70,45,70,55,64,75,55,64,72,25,20,15,73,32,25,5,5,5,5,5
Bears,Chris,Williams,LT,72,66,85,86,67,74,45,45,30,30,25,25,76,82,30,50,10,45,79,45,20,12,10,30,10,10,75,10,10,20,25,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Bears,J'Marcus,Webb,LT,69,59,71,88,66,72,21,40,18,13,12,11,84,75,35,40,10,93,79,75,10,17,10,10,10,10,79,10,10,25,31,20,13,20,19,15,15,25,10,15,5,5,5,5,5
Bears,James,Brown,LT,60,63,66,85,54,51,19,35,9,40,24,33,73,78,34,68,10,85,84,88,25,10,11,10,11,10,78,10,10,34,30,10,12,12,12,15,10,12,10,12,5,5,5,5,5
Bears,Brian,Urlacher,MLB,95,84,88,77,85,97,63,65,31,17,17,18,45,45,95,81,10,88,98,97,40,46,65,78,55,70,45,76,64,83,98,99,75,85,55,35,25,91,78,35,5,5,5,5,5
Bears,Blake,Costanzo,MLB,66,77,78,72,75,71,52,59,30,30,26,26,45,45,79,65,5,87,86,78,38,27,10,36,15,15,45,70,60,74,82,66,55,65,15,15,15,66,50,12,5,5,5,5,5
Bears,Dom,DeCicco,MLB,57,74,82,70,75,61,54,50,26,37,32,33,45,45,76,60,10,87,85,82,45,22,35,41,25,45,45,66,46,74,67,52,50,62,25,22,15,77,42,20,5,5,5,5,5
Bears,Adrien,Cole,MLB,50,75,84,65,73,39,55,65,11,15,10,33,45,45,75,83,10,91,86,82,40,30,29,38,34,32,45,60,42,59,74,63,44,54,20,25,15,80,49,20,5,5,5,5,5
Bears,Adam,Podlesh,P,78,78,80,52,74,76,45,40,45,45,96,85,19,25,30,65,10,87,92,80,35,35,65,35,65,75,19,10,10,30,25,28,12,15,12,10,10,12,10,12,30,30,25,20,20
Bears,Jay,Cutler,QB,87,71,76,69,69,78,35,61,98,84,25,20,19,26,30,69,10,95,90,85,55,45,63,47,63,65,19,10,10,30,39,28,12,12,12,10,10,12,10,12,88,84,77,71,84
Bears,Jason,Campbell,QB,79,70,67,59,69,70,37,49,91,74,26,21,11,11,27,67,10,92,90,90,62,50,60,56,60,63,11,10,10,27,40,14,14,17,25,15,20,12,10,20,82,76,75,82,75
Bears,Josh,McCown,QB,70,77,79,59,75,71,60,70,78,79,17,25,14,14,20,50,10,75,90,72,45,45,63,34,64,64,14,10,10,20,35,29,21,21,40,52,58,12,10,40,75,79,66,51,76
Bears,Julius,Peppers,RE,97,85,96,87,88,87,68,60,25,24,16,11,45,45,77,87,10,94,97,90,10,40,55,70,65,65,45,85,97,68,92,76,40,62,65,45,25,88,38,58,5,5,5,5,5
Bears,Thaddeus,Gibson,RE,72,84,88,72,84,49,50,40,10,26,28,22,45,45,80,82,10,92,85,79,10,35,32,25,20,15,45,78,88,69,77,39,38,58,25,15,18,90,35,45,5,5,5,5,5
Bears,Corey,Wootton,RE,72,74,81,83,72,63,28,40,21,14,9,8,45,45,82,66,10,82,74,90,20,39,10,10,10,10,45,84,54,78,67,73,15,33,12,10,10,68,10,12,5,5,5,5,5
Bears,Lance,Louis,RG,71,61,75,85,60,73,48,55,21,24,21,30,81,69,26,40,10,90,75,66,35,39,35,30,25,25,77,10,10,16,18,26,13,16,30,35,35,20,10,15,5,5,5,5,5
Bears,Chilo,Rachal,RG,69,60,76,90,64,65,40,45,30,30,25,25,83,66,30,50,10,88,70,78,20,12,10,30,10,10,75,10,10,20,25,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Bears,Lance,Briggs,ROLB,92,78,83,80,81,93,54,65,33,20,21,25,45,45,94,62,10,96,92,90,10,41,46,55,55,64,45,77,63,93,93,92,64,73,40,25,10,86,75,25,5,5,5,5,5
Bears,Patrick,Trahan,ROLB,61,79,86,64,75,63,40,50,12,11,17,16,45,45,70,78,10,92,84,75,45,43,55,45,40,49,45,62,79,64,74,44,52,65,25,20,10,76,35,12,5,5,5,5,5
Bears,J.T.,Thomas,ROLB,60,80,81,64,85,55,55,50,22,22,10,10,45,45,76,74,10,83,87,89,10,35,27,12,10,40,45,53,63,77,85,40,65,58,45,40,10,67,55,20,5,5,5,5,5
Bears,Gabe,Carimi,RT,79,64,77,93,62,61,15,35,10,10,11,11,93,74,30,40,10,77,90,94,10,21,10,10,10,10,79,10,10,25,33,15,11,12,15,15,15,37,10,15,5,5,5,5,5
Bears,A.J.,Greene,RT,61,71,65,79,62,48,27,40,11,11,15,12,73,75,44,72,10,77,83,65,21,11,10,10,10,15,74,10,10,25,30,28,12,13,15,15,15,20,10,15,5,5,5,5,5
Bears,Major,Wright,SS,77,85,90,63,87,67,70,66,20,14,25,15,45,45,70,84,55,95,92,91,10,54,25,25,65,66,45,45,62,63,77,60,56,78,45,45,15,93,62,12,15,10,10,15,15
Bears,Craig,Steltz,SS,72,79,80,66,75,70,58,75,25,25,25,25,45,45,76,78,50,94,95,92,45,35,70,50,45,65,45,70,68,76,78,73,40,57,35,35,35,84,35,12,5,5,5,5,5
Bears,Brandon,Hardin,SS,70,91,86,72,85,42,45,64,30,30,25,25,55,45,74,87,35,82,92,94,64,41,42,65,55,60,45,65,55,61,78,63,64,76,22,21,30,87,53,30,10,10,10,10,10
Bears,Kellen,Davis,TE,78,76,78,78,73,75,74,70,35,35,30,30,70,56,48,82,10,92,80,84,66,35,70,55,50,65,75,25,25,25,30,20,15,20,72,80,73,12,18,75,15,10,5,5,10
Bears,Matt,Spaeth,TE,71,65,74,72,67,77,76,72,22,35,21,22,64,60,35,86,5,89,87,94,68,32,66,59,55,64,45,20,20,25,40,15,12,14,68,82,76,15,10,65,15,10,5,5,10
Bears,Draylen,Ross,TE,63,69,77,75,72,56,67,64,22,22,22,24,65,55,46,81,6,92,77,75,71,35,66,74,65,60,67,10,10,16,40,21,13,31,58,72,53,25,25,71,15,10,5,5,10
Bears,Kyle,Adams,TE,61,73,72,72,70,50,73,72,22,35,21,22,62,56,46,67,5,88,82,75,70,35,62,69,50,60,62,20,20,25,40,15,12,14,64,76,55,15,10,72,15,10,5,5,10
Bears,Brandon,Marshall,WR,91,88,86,79,90,88,85,74,24,20,12,12,54,35,45,92,25,92,97,88,85,66,87,88,85,92,54,10,10,45,45,26,18,39,86,96,95,12,10,98,15,10,5,5,10
Bears,Devin,Hester,WR,78,98,99,54,97,79,74,60,35,40,22,18,30,20,40,90,99,93,95,70,36,99,97,45,96,98,35,20,25,44,64,42,61,62,76,72,72,30,52,65,15,10,5,5,10
Bears,Earl,Bennett,WR,77,85,86,62,86,76,88,71,35,35,30,30,29,27,25,80,70,93,79,80,55,52,75,55,77,84,42,10,10,20,35,20,10,25,74,90,82,12,18,75,15,10,5,5,10
Bears,Johnny,Knox,WR,75,96,93,40,92,74,78,55,31,34,17,18,50,34,34,89,80,74,86,76,36,88,77,40,79,92,52,10,10,34,35,25,11,35,84,79,75,20,35,65,15,10,5,5,10
Bears,Eric,Weems,WR,73,91,94,49,94,78,76,73,30,30,26,26,24,22,21,82,95,90,92,70,40,94,87,36,88,90,30,15,15,15,15,15,15,20,73,71,70,12,10,56,10,10,10,10,10
Bears,Alshon,Jeffery,WR,70,88,83,68,82,54,89,67,29,25,18,18,49,45,35,91,20,91,83,88,73,70,81,84,83,71,49,10,10,42,30,30,19,22,89,80,54,15,15,84,15,10,5,5,10
Bears,Dane,Sanzenbacher,WR,67,85,79,44,81,60,82,70,33,30,35,39,54,35,24,75,78,86,90,92,37,58,78,35,90,74,49,10,10,27,45,19,10,16,68,85,72,15,15,78,15,10,5,5,10
Bears,Devin,Thomas,WR,67,91,91,69,87,58,68,74,35,35,30,30,40,32,25,88,65,86,78,88,75,82,80,78,84,88,51,10,10,20,44,20,10,25,74,64,60,12,18,76,15,10,5,5,10
Bengals,Kyle,Cook,C,82,55,65,88,55,82,30,30,36,36,20,28,85,85,37,50,13,97,85,82,30,15,10,10,10,10,84,20,20,25,25,10,15,12,12,10,10,12,10,12,5,5,5,5,5
Bengals,Reggie,Stephens,C,66,51,72,89,49,65,12,35,25,20,20,20,81,70,40,66,10,92,79,88,10,10,10,10,10,10,76,10,10,25,30,10,12,12,12,10,10,15,10,12,5,5,5,5,5
Bengals,Leon,Hall,CB,89,88,89,65,89,89,67,60,27,35,10,11,45,45,65,89,62,87,96,84,25,40,60,15,73,87,45,37,42,62,82,89,86,92,50,38,20,62,96,15,5,5,5,5,5
Bengals,Nate,Clements,CB,87,86,90,67,92,85,56,65,21,20,22,19,45,45,72,95,25,96,94,90,40,50,70,26,75,82,45,54,64,68,87,82,87,84,40,55,10,59,87,30,5,5,5,5,5
Bengals,Terence,Newman,CB,82,97,92,47,94,82,70,70,12,14,18,10,45,45,42,93,75,86,97,72,10,45,80,15,72,85,45,22,40,28,62,78,87,82,45,20,35,42,55,15,5,5,5,5,5
Bengals,Jason,Allen,CB,78,90,91,66,89,76,60,60,22,40,10,21,45,45,64,92,50,84,95,75,58,37,47,23,55,74,45,54,64,55,72,64,84,75,20,20,15,71,74,15,15,10,10,15,15
Bengals,Dre,Kirkpatrick,CB,75,89,88,65,85,55,61,58,14,15,14,12,55,45,71,87,35,85,95,76,50,65,69,47,72,70,54,64,50,70,84,73,77,92,42,35,21,73,88,20,5,5,5,5,5
Bengals,Adam,Jones,CB,73,93,94,48,94,71,72,55,24,20,14,18,45,45,52,93,83,88,89,85,39,88,77,25,88,91,45,35,44,40,72,54,82,74,65,35,40,50,56,20,10,10,10,10,10
Bengals,Brandon,Ghee,CB,68,91,93,65,92,40,42,55,36,36,25,25,45,45,55,88,68,90,88,70,30,75,55,35,72,82,45,39,49,44,66,55,84,70,55,40,40,49,83,30,5,5,5,5,5
Bengals,Shaun,Prater,CB,67,87,86,53,91,48,59,64,36,36,25,25,45,45,57,91,45,88,93,72,36,55,62,30,60,66,45,35,37,44,75,75,68,84,45,40,30,41,72,30,5,5,5,5,5
Bengals,Geno,Atkins,DT,93,73,94,91,69,79,25,40,25,25,20,20,45,45,87,75,10,91,86,80,30,12,15,40,10,10,45,96,72,88,95,80,15,25,15,15,15,65,15,15,5,5,5,5,5
Bengals,Domata,Peko,DT,84,62,79,90,63,82,25,40,27,16,33,30,45,45,91,62,10,92,75,84,30,12,10,10,10,10,45,83,54,87,82,74,15,20,12,10,10,71,10,12,5,5,5,5,5
Bengals,Pat,Sims,DT,77,66,84,91,66,72,28,40,25,25,20,20,45,45,84,64,10,83,69,88,20,12,15,35,10,10,45,85,45,82,76,67,15,20,15,15,15,82,15,15,5,5,5,5,5
Bengals,Devon,Still,DT,72,67,84,82,70,55,26,40,21,14,8,12,45,45,84,81,10,84,69,75,25,10,15,19,10,10,45,85,57,86,68,64,15,25,15,15,15,65,12,15,5,5,5,5,5
Bengals,Nick,Hayden,DT,67,56,70,88,54,69,42,48,30,30,30,30,45,45,78,70,10,90,78,88,40,19,20,50,15,15,45,72,45,73,66,65,20,30,15,10,10,70,30,12,5,5,5,5,5
Bengals,Brandon,Thompson,DT,66,64,83,90,58,48,25,40,29,35,26,18,45,45,83,81,12,90,72,86,24,11,10,10,10,10,45,81,48,70,77,61,12,24,12,10,10,88,10,12,5,5,5,5,5
Bengals,Vaughn,Meatoga,DT,56,66,75,81,58,42,25,40,14,13,17,11,45,45,72,80,10,97,75,90,24,12,10,10,10,10,45,75,40,77,66,48,19,23,15,15,15,62,10,15,5,5,5,5,5
Bengals,Chris,Pressley,FB,76,70,75,77,69,73,64,74,15,11,15,17,76,62,50,65,50,87,82,90,77,44,55,69,45,60,77,10,10,36,55,24,11,30,38,42,40,65,25,46,20,15,10,10,10
Bengals,James,Develin,FB,59,73,74,76,68,61,59,70,30,30,25,25,63,49,42,64,30,92,78,87,77,37,49,66,46,55,71,15,15,15,49,20,12,15,36,45,42,55,10,40,5,5,5,5,5
Bengals,Reggie,Nelson,FS,79,92,91,59,94,68,71,62,25,29,15,30,45,45,76,94,50,95,96,86,45,70,55,20,54,65,45,41,50,54,76,55,73,78,52,44,20,71,50,20,15,10,10,15,15
Bengals,George,Iloka,FS,65,82,90,67,86,52,53,66,30,30,20,15,45,45,60,85,30,95,88,73,56,46,52,45,60,62,45,53,55,75,59,55,65,75,32,45,20,84,88,25,15,10,10,15,15
Bengals,Robert,Sands,FS,64,84,88,71,85,45,71,59,20,35,19,15,45,45,63,91,35,94,86,72,55,40,60,25,65,66,45,62,45,70,87,37,73,72,48,25,20,88,67,15,5,5,5,5,5
Bengals,BenJarvus,Green-Ellis,HB,82,82,84,79,78,84,41,99,36,36,25,25,24,35,44,78,70,98,84,88,94,65,90,94,82,78,35,10,10,25,55,15,13,25,49,45,45,20,20,55,10,10,10,10,10
Bengals,Bernard,Scott,HB,77,93,92,65,90,73,65,74,25,21,10,10,33,35,26,74,80,88,87,75,68,88,81,54,86,84,27,10,10,26,35,20,15,15,64,63,60,20,20,60,33,29,20,15,15
Bengals,Brian,Leonard,HB,73,80,84,74,81,84,80,85,35,25,15,19,54,62,35,79,45,92,92,87,83,55,77,80,75,65,64,30,35,35,55,20,15,20,45,72,75,35,20,55,20,15,10,10,10
Bengals,Daniel,Herron,HB,68,83,89,73,86,55,63,83,25,20,10,10,45,55,35,79,60,81,92,84,75,75,73,70,74,72,49,10,10,26,35,20,15,15,60,66,61,20,20,65,35,30,20,15,15
Bengals,Aaron,Brown,HB,63,95,94,59,89,45,77,67,22,20,10,10,40,42,26,78,80,78,85,72,49,87,62,46,87,89,27,10,10,26,35,20,15,15,72,75,74,20,20,72,35,30,20,15,15
Bengals,Cedric,Peerman,HB,62,91,84,75,88,55,70,62,20,21,14,14,29,46,32,91,64,82,88,84,52,79,69,56,82,84,29,10,10,32,39,27,28,20,61,62,52,20,20,79,35,30,20,15,15
Bengals,Mike,Nugent,K,81,49,47,34,52,75,16,40,28,20,91,90,16,17,25,32,10,90,92,65,10,24,10,10,10,10,16,10,10,25,22,29,20,14,15,15,15,12,10,15,35,30,25,20,20
Bengals,Carlos,Dunlap,LE,85,84,88,80,81,71,35,40,9,14,8,10,45,45,72,84,10,85,76,55,35,27,10,10,10,10,45,72,94,75,87,65,22,34,15,15,15,72,20,20,5,5,5,5,5
Bengals,Robert,Geathers,LE,79,78,86,78,74,83,22,40,24,12,15,17,45,45,77,69,10,93,84,80,30,33,10,10,10,10,45,52,85,65,84,80,22,19,12,10,10,60,10,12,5,5,5,5,5
Bengals,Derrick,Harvey,LE,63,77,89,73,82,56,51,50,35,30,32,32,45,45,65,82,10,93,75,84,42,39,50,50,25,45,45,57,78,60,82,45,40,50,15,10,10,78,45,12,5,5,5,5,5
Bengals,Travelle,Wharton,LG,85,58,82,85,62,77,30,40,17,17,17,14,89,82,19,29,10,91,81,78,10,24,10,10,10,10,87,10,10,19,21,13,10,10,15,15,15,20,10,15,5,5,5,5,5
Bengals,Otis,Hudson,LG,66,58,72,88,62,54,22,35,26,26,25,25,84,68,45,66,10,92,75,80,22,12,15,30,10,10,77,35,25,40,35,22,15,9,15,15,15,45,15,15,5,5,5,5,5
Bengals,Manny,Lawson,LOLB,82,89,95,77,90,77,59,65,13,40,26,25,45,45,79,88,10,93,87,79,10,50,37,36,75,75,45,67,89,79,94,77,49,64,64,42,22,72,45,32,5,5,5,5,5
Bengals,Dan,Skuta,LOLB,66,74,78,73,74,74,53,65,18,17,14,35,45,45,81,62,10,92,85,79,65,25,60,66,60,55,45,72,57,72,79,66,34,47,40,45,38,72,45,55,5,5,5,5,5
Bengals,Dontay,Moch,LOLB,59,80,92,65,77,55,54,55,33,40,25,19,45,45,80,93,15,90,84,64,22,55,35,35,67,66,45,81,54,73,81,39,33,45,45,32,24,90,54,35,5,5,5,5,5
Bengals,Micah,Johnson,LOLB,57,69,82,82,70,54,35,45,19,34,18,19,45,45,81,65,0,86,72,85,10,29,35,67,20,35,45,70,42,88,54,61,22,39,15,20,15,84,46,40,5,5,5,5,5
Bengals,Andrew,Whitworth,LT,91,48,67,94,54,91,24,40,35,40,20,28,86,98,37,53,13,86,78,88,40,19,10,10,10,10,82,20,20,37,40,10,15,12,12,10,10,12,10,12,5,5,5,5,5
Bengals,Anthony,Collins,LT,78,56,72,91,60,70,45,45,30,30,25,25,83,89,30,50,10,93,79,87,20,12,10,30,10,10,82,10,10,20,25,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Bengals,Rey,Maualuga,MLB,83,80,87,80,78,79,48,60,10,10,25,21,45,45,95,68,10,87,93,95,10,54,25,15,31,36,45,80,69,83,91,80,45,58,15,15,15,96,48,12,5,5,5,5,5
Bengals,Roddrick,Muckelroy,MLB,62,77,88,62,82,64,47,60,12,19,25,21,45,45,78,80,10,77,91,76,27,45,50,50,55,62,45,45,50,62,71,87,47,70,20,25,15,58,70,25,5,5,5,5,5
Bengals,Vontaze,Burfict,MLB,56,69,82,67,73,45,53,58,22,22,12,10,45,45,71,80,10,95,74,88,45,15,25,55,25,20,45,75,54,84,73,55,32,55,35,33,10,95,45,20,5,5,5,5,5
Bengals,Kevin,Huber,P,75,66,70,55,64,74,31,35,42,40,88,90,22,19,22,39,10,95,90,60,10,19,10,10,10,10,20,15,15,14,20,19,12,31,12,10,10,12,10,12,30,30,25,20,20
Bengals,Andy,Dalton,QB,83,66,71,54,68,77,12,65,86,85,12,19,14,13,15,66,10,96,91,94,31,41,54,25,55,56,14,10,10,12,23,10,12,12,15,15,15,12,10,15,87,84,81,81,77
Bengals,Bruce,Gradkowski,QB,73,70,71,49,70,72,35,60,78,82,12,12,11,14,21,66,0,91,90,74,42,53,57,15,55,64,11,10,10,21,19,31,13,12,15,15,15,12,10,15,87,75,60,72,78
Bengals,Zac,Robinson,QB,60,72,84,54,75,43,40,77,82,73,25,25,15,20,25,64,10,88,92,97,66,64,80,55,70,65,20,10,10,25,44,20,15,20,12,10,10,12,10,12,82,66,54,72,75
Bengals,Michael,Johnson,RE,77,85,92,70,85,61,45,40,20,30,25,15,45,45,72,87,10,88,76,70,25,50,10,45,55,50,45,69,83,79,75,66,35,45,25,15,15,70,30,15,5,5,5,5,5
Bengals,Jamaal,Anderson,RE,74,71,75,83,73,74,25,40,21,14,9,8,45,45,83,68,10,88,75,90,20,39,10,10,10,10,45,70,67,83,75,62,15,35,12,10,10,74,10,12,5,5,5,5,5
Bengals,DeQuin,Evans,RE,54,69,76,74,72,49,45,60,16,19,15,14,45,45,76,63,10,90,84,88,35,21,22,22,10,25,45,67,52,64,73,53,32,39,20,15,15,70,45,25,5,5,5,5,5
Bengals,Kevin,Zeitler,RG,75,60,64,91,59,58,15,40,12,14,18,16,86,80,25,79,10,79,88,93,20,11,10,10,10,10,86,10,10,15,21,13,13,15,15,15,15,20,10,15,5,5,5,5,5
