Team,First Name,Last Name,Position,Jersey,Overall,Speed,Acceleration,Strength,Agility,Awareness,Catching,Carrying,Throw Power,Kick Power,Kick Accuracy,Run Block,Pass Block,Tackle,Jumping,Return,Injury,Stamina,Toughness,Trucking,Elusiveness,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Impact Block,Power Move,Finessee Move,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Spectacular Catch,Catch In Traffic,Route Running,Hit Power,Press,Release,Throw Accuracy Short,Throw Accuracy Medium,Throw Accuracy Deep,Play Action,Throw On The Run
Bears,Eben,Britton,LT,62,70,61,74,90,61,79,12,40,10,17,11,83,73,21,21,10,96,85,69,10,19,10,10,10,10,78,10,10,21,25,14,10,9,15,15,15,20,10,15,5,5,5,5,5
Bears,Joe,Long,LT,79,57,46,65,77,53,53,49,45,30,25,25,72,78,35,77,10,90,82,75,20,15,19,35,15,10,74,10,10,20,22,15,12,15,10,12,12,15,10,15,5,5,5,5,5
Bears,D.J.,Williams,MLB,58,78,82,86,76,83,85,53,65,22,12,15,45,45,78,76,10,84,90,85,60,49,60,70,72,72,45,64,74,70,87,84,71,75,25,20,15,90,80,20,5,5,5,5,5
Bears,Jon,Bostic,MLB,57,70,83,79,72,76,66,69,64,30,20,22,45,45,79,80,10,95,91,83,44,31,35,50,41,35,45,57,71,73,85,73,63,74,55,49,15,89,60,15,5,5,5,5,5
Bears,Jerry,Franklin,MLB,53,58,74,75,63,72,60,71,60,25,20,20,45,45,82,89,10,95,87,64,60,45,65,55,58,64,45,55,52,72,58,68,55,68,35,40,33,69,45,12,5,5,5,5,5
Bears,Christian,Jones,MLB,96,56,81,85,65,84,53,63,59,15,14,12,45,45,71,83,10,94,86,83,45,15,35,33,33,43,45,49,69,68,77,49,69,74,45,40,15,83,65,25,5,5,5,5,5
Bears,Pat,O'Donnell,P,16,54,83,85,65,75,53,34,44,49,92,82,20,10,24,78,10,85,87,65,15,29,35,25,40,55,20,10,10,24,60,25,13,22,20,15,10,55,10,15,30,30,25,20,20
Bears,Jay,Cutler,QB,6,86,71,76,69,68,77,35,57,98,25,20,19,26,30,69,10,90,90,85,35,25,63,47,63,65,19,10,10,30,39,28,12,12,12,10,10,12,10,12,87,81,85,70,76
Bears,Jimmy,Clausen,QB,8,67,57,65,51,65,57,35,52,88,21,35,26,25,25,62,10,95,95,90,20,25,52,25,40,55,22,10,10,26,25,32,17,21,15,15,15,12,10,15,79,71,66,69,75
Bears,David,Fales,QB,12,66,69,77,57,64,52,35,58,83,25,25,20,15,30,72,10,94,92,85,43,42,69,32,60,62,30,10,10,25,30,15,15,20,12,10,10,12,10,12,82,81,63,55,80
Bears,Jordan,Palmer,QB,2,66,54,63,62,58,62,40,50,87,30,30,25,15,25,65,0,84,88,70,20,25,35,35,30,35,35,10,10,20,42,15,15,25,12,10,10,12,10,12,76,68,66,65,75
Bears,Jerrod,Johnson,QB,4,64,75,79,73,84,44,68,74,94,26,22,10,15,40,83,25,87,85,80,47,54,75,62,75,77,40,20,20,35,47,22,10,24,64,55,37,65,10,15,70,71,72,54,75
Bears,Jared,Allen,RE,69,87,75,84,86,72,94,25,40,20,10,10,45,45,74,71,10,90,89,88,10,37,10,10,10,25,45,90,63,73,84,89,21,30,20,15,15,66,22,20,5,5,5,5,5
Bears,Willie,Young,RE,97,80,74,86,80,71,76,29,25,17,21,20,45,45,75,85,10,90,84,77,19,11,28,10,35,52,45,74,86,69,80,72,19,45,12,10,10,84,10,12,5,5,5,5,5
Bears,Israel,Idonije,RE,71,77,73,79,87,69,82,28,40,13,29,12,45,45,87,60,10,88,77,85,10,17,10,10,10,10,45,80,47,82,76,81,22,33,12,10,10,53,10,12,5,5,5,5,5
Bears,David,Bass,RE,91,65,80,86,74,79,53,46,44,16,15,25,45,45,67,78,10,95,75,76,34,10,17,27,17,19,45,65,80,64,73,58,30,50,15,15,15,73,20,15,5,5,5,5,5
Bears,Kyle,Long,RG,75,78,73,83,82,69,68,40,45,67,14,14,75,84,55,70,15,89,90,91,35,10,25,39,25,22,82,68,45,65,53,39,15,20,12,10,10,62,10,15,5,5,5,5,5
Bears,Charles,Leno Jr.,RG,72,66,55,74,79,64,52,25,24,10,11,15,74,79,35,72,10,90,84,75,25,24,10,10,10,10,77,30,30,25,29,26,12,9,45,52,33,20,10,35,5,5,5,5,5
Bears,Lance,Briggs,ROLB,55,87,78,84,81,77,93,62,65,33,21,25,45,45,90,62,10,87,90,90,10,41,46,55,55,64,45,71,57,84,89,92,65,66,40,25,10,86,75,25,5,5,5,5,5
Bears,Jordan,Senn,ROLB,59,72,83,85,64,82,72,60,62,26,20,20,45,45,80,85,10,88,90,78,45,30,15,45,25,35,45,64,68,67,87,65,59,73,20,20,20,72,45,15,0,0,0,0,0
Bears,Jordan,Mills,RT,67,74,56,68,83,54,72,35,45,19,12,15,83,75,44,72,10,93,85,73,25,10,15,10,10,10,82,10,10,32,31,19,10,14,15,15,15,64,10,15,5,5,5,5,5
Bears,Cody,Booth,RT,73,65,54,76,82,58,53,63,65,16,21,23,77,74,35,79,11,92,79,70,49,35,54,50,45,54,79,10,10,25,38,25,15,20,55,63,40,23,10,55,5,5,5,5,5
Bears,Ryan,Mundy,SS,21,79,83,86,65,84,73,61,70,25,25,25,45,45,70,85,10,91,95,78,40,50,70,40,55,77,45,44,46,67,79,63,64,77,45,40,35,87,55,12,5,5,5,5,5
Bears,M.D.,Jennings,SS,37,74,87,89,59,83,69,57,52,10,9,9,45,45,68,91,35,88,84,70,25,64,45,25,55,62,45,42,35,54,66,64,71,76,42,35,25,71,70,35,5,5,5,5,5
Bears,Craig,Steltz,SS,20,73,79,80,66,75,74,58,75,25,25,25,45,45,72,78,50,94,95,92,45,35,70,50,45,65,45,70,68,76,81,75,40,57,35,35,35,84,35,12,5,5,5,5,5
Bears,Sean,Cattouse,SS,36,62,81,83,53,85,47,56,66,30,15,15,45,45,64,86,25,90,92,75,46,44,52,29,48,49,45,49,47,57,61,54,72,74,42,40,20,86,78,33,5,5,5,5,5
Bears,Martellus,Bennett,TE,83,87,78,82,79,81,78,82,74,34,28,28,75,67,25,94,55,89,88,83,70,35,68,76,65,75,74,10,10,41,50,20,15,20,87,82,74,12,18,80,15,10,5,5,10
Bears,Dante,Rosario,TE,88,76,73,76,76,74,75,82,69,30,20,20,74,54,55,86,30,91,84,80,65,25,45,60,45,55,61,30,30,59,60,25,15,25,72,79,75,58,20,70,15,10,5,5,10
Bears,Matthew,Mulligan,TE,85,71,66,75,81,66,75,69,66,11,17,18,80,69,35,65,5,89,77,84,64,35,62,55,40,45,84,10,10,45,45,15,15,29,49,64,57,25,25,65,15,10,5,5,10
Bears,Fendi,Onobun,TE,84,65,83,85,63,85,56,70,70,25,35,31,58,47,39,85,10,85,78,69,64,66,55,65,72,74,55,10,10,51,35,21,10,24,81,69,56,12,10,74,15,10,5,5,10
Bears,Brandon,Hartson,TE,48,54,63,72,70,65,52,60,65,35,29,18,67,66,49,72,10,90,76,75,55,44,49,40,35,45,69,10,10,49,58,40,25,35,60,55,59,12,35,43,5,5,5,5,5
Bears,Brandon,Marshall,WR,15,96,88,87,79,92,92,98,76,24,12,12,65,35,45,92,25,92,97,88,85,66,87,88,85,92,58,10,10,63,45,26,18,39,89,99,98,12,10,99,15,10,5,5,10
Bears,Alshon,Jeffery,WR,17,91,89,84,78,88,82,95,72,29,18,18,63,45,35,91,20,91,83,88,75,66,81,83,83,72,57,10,10,54,30,30,19,22,98,97,92,15,15,98,15,10,5,5,10
Bears,Josh,Morgan,WR,19,76,86,85,72,86,81,74,74,35,30,30,60,40,25,90,65,80,91,84,70,69,80,65,82,86,65,10,10,35,35,20,10,35,79,81,73,12,15,84,15,10,5,5,10
Bears,Eric,Weems,WR,14,73,91,94,49,94,78,76,73,30,26,26,57,22,21,82,95,85,92,70,40,94,87,36,88,90,30,15,15,45,15,15,15,20,73,71,70,12,10,56,10,10,10,10,10
Bears,Armanti,Edwards,WR,80,72,91,95,52,95,68,76,67,86,10,19,39,30,16,87,60,95,95,90,40,93,84,50,90,93,45,10,10,35,50,26,18,14,79,72,61,12,10,68,69,72,66,34,84
Bears,Micheal,Spurlock,WR,18,71,90,93,58,91,70,75,72,65,15,12,48,30,34,84,88,87,85,69,58,75,87,42,72,78,35,10,10,39,25,20,20,13,74,72,67,12,10,68,57,52,43,39,68
Bears,Marquess,Wilson,WR,10,68,89,87,45,87,51,83,71,38,19,19,40,43,29,93,45,92,88,84,35,74,72,44,80,81,39,20,20,37,29,20,11,22,90,81,59,15,10,74,15,15,15,15,15
Bears,Terrence,Toliver,WR,81,63,85,84,69,81,54,72,69,25,20,22,65,49,45,92,40,94,84,60,72,54,69,70,73,74,55,10,10,35,58,31,26,14,85,77,48,12,10,86,15,10,5,5,10
Bears,Josh,Bellamy,WR,11,60,90,84,63,86,54,74,69,40,30,22,46,45,39,88,69,92,86,76,49,68,76,50,74,76,47,10,25,39,49,35,61,63,81,65,48,28,43,66,10,10,10,10,10
Bengals,Trevor,Robinson,C,66,76,56,70,90,59,75,15,40,29,9,14,84,79,38,79,10,90,79,85,20,10,10,10,10,10,81,10,10,27,48,31,9,11,15,15,15,20,10,15,5,5,5,5,5
Bengals,Russell,Bodine,C,61,66,61,83,97,52,50,30,32,15,21,22,81,75,29,78,10,93,83,85,19,15,10,10,10,10,74,10,10,18,23,14,20,19,15,15,15,15,10,15,5,5,5,5,5
Bengals,Leon,Hall,CB,29,88,88,87,66,88,90,66,60,27,10,11,45,45,68,87,62,87,96,84,25,40,60,15,73,87,45,37,42,50,82,89,85,91,50,38,20,62,91,15,5,5,5,5,5
Bengals,Terence,Newman,CB,23,83,94,91,47,90,89,69,69,12,18,10,45,45,52,91,75,88,97,72,10,45,80,15,72,85,45,22,40,47,60,82,85,80,45,20,35,42,56,15,5,5,5,5,5
Bengals,Adam,Jones,CB,24,81,92,93,48,94,79,74,65,24,14,18,45,45,51,93,83,88,89,85,39,88,81,25,88,91,45,35,44,38,66,74,88,81,65,35,40,50,59,20,10,10,10,10,10
Bengals,Darqueze,Dennard,CB,21,78,90,88,57,88,62,73,63,25,15,16,45,45,70,88,40,87,95,85,15,65,67,35,66,67,45,52,66,56,83,70,89,79,55,55,20,65,92,28,5,5,5,5,5
Bengals,Dre,Kirkpatrick,CB,27,74,89,87,65,85,60,59,58,14,14,12,55,45,68,87,35,85,95,76,50,65,69,47,72,70,54,64,50,30,84,67,75,88,42,35,21,73,89,20,5,5,5,5,5
Bengals,Chris,Lewis-Harris,CB,37,68,90,88,57,89,63,55,62,24,18,22,45,45,57,87,65,92,88,71,15,50,60,25,66,65,45,33,44,41,70,56,73,77,52,45,15,55,66,20,5,5,5,5,5
Bengals,R.J.,Stanford,CB,28,67,89,92,43,88,65,56,45,30,20,22,45,45,42,88,60,85,79,66,33,81,66,25,82,75,45,30,22,45,60,52,79,73,35,44,30,42,51,30,5,5,5,5,5
Bengals,Lavelle,Westbrooks,CB,22,64,85,87,67,84,46,71,64,35,20,20,45,45,64,88,35,87,91,77,35,60,59,40,66,72,45,45,53,54,74,64,69,76,65,64,25,75,73,33,5,5,5,5,5
Bengals,Onterio,McCalebb,CB,39,62,98,97,47,94,52,66,68,35,20,22,30,29,35,92,83,83,93,65,36,82,69,35,84,77,30,20,28,35,52,40,74,67,77,63,49,44,39,47,25,20,15,5,25
Bengals,Victor,Hampton,CB,44,60,87,89,65,85,45,67,65,26,11,10,45,45,59,83,72,94,90,75,25,77,75,26,75,83,45,25,35,42,77,47,74,76,45,44,15,70,49,15,5,5,5,5,5
Bengals,Geno,Atkins,DT,97,96,72,92,91,69,85,25,40,25,20,20,45,45,87,75,10,85,88,80,30,12,15,40,10,10,45,98,72,91,96,84,15,25,15,15,15,65,15,15,5,5,5,5,5
Bengals,Domata,Peko,DT,94,76,59,74,90,59,85,25,40,27,33,30,65,50,76,62,10,92,73,84,30,12,10,10,10,10,64,71,52,76,73,81,15,20,12,10,10,71,10,12,5,5,5,5,5
Bengals,Devon,Still,DT,75,74,67,84,82,69,60,26,40,21,8,12,45,45,84,81,10,84,67,75,25,10,15,19,10,10,45,86,58,84,68,64,15,25,15,15,15,65,12,15,5,5,5,5,5
Bengals,Brandon,Thompson,DT,98,68,63,81,91,58,57,25,40,29,26,18,45,45,79,81,12,90,66,86,24,11,10,10,10,10,45,80,48,73,74,63,12,24,12,10,10,88,10,12,5,5,5,5,5
Bengals,Christo,Bilukidi,DT,90,67,66,82,85,69,59,31,40,29,26,21,45,45,78,85,12,87,71,75,28,11,10,32,10,10,45,64,81,65,66,42,12,25,12,10,10,70,10,12,5,5,5,5,5
Bengals,Zach,Minter,DT,69,63,73,83,83,71,44,42,45,19,11,17,45,45,75,82,10,85,74,73,25,11,15,10,10,10,45,76,61,75,66,45,15,25,15,15,15,69,19,17,5,5,5,5,5
Bengals,Orson,Charles,FB,80,79,75,86,85,82,66,74,74,33,18,16,79,60,40,81,10,95,87,76,71,61,75,65,74,70,76,10,10,47,40,15,15,13,76,78,52,25,25,84,15,10,5,5,10
Bengals,Nikita,Whitlock,FB,35,56,75,84,88,79,39,51,65,30,25,25,74,52,66,79,40,92,79,87,75,42,60,66,54,56,67,65,30,66,57,32,15,20,40,55,39,45,20,45,20,15,10,10,10
Bengals,Reggie,Nelson,FS,20,85,90,90,59,92,79,74,62,25,15,30,45,45,73,94,50,95,96,86,45,70,55,20,54,65,45,41,50,54,73,69,75,86,52,44,20,76,50,20,15,10,10,15,15
Bengals,Shawn,Williams,FS,40,72,91,86,74,83,52,60,65,35,26,19,45,45,82,89,45,94,87,90,59,55,61,57,65,69,45,55,56,79,74,60,64,72,60,54,15,85,72,25,5,5,5,5,5
Bengals,Giovani,Bernard,HB,25,84,91,96,58,96,68,80,83,30,23,15,44,70,35,83,81,84,94,66,65,90,93,74,89,95,42,20,30,32,40,15,19,29,63,77,71,20,20,54,35,30,20,15,15
Bengals,BenJarvus,Green-Ellis,HB,42,78,82,85,80,78,85,46,94,36,25,25,24,67,44,78,70,98,84,88,88,55,88,93,77,73,35,10,10,25,55,15,13,25,49,45,45,20,20,55,10,10,10,10,10
Bengals,Jeremy,Hill,HB,32,73,85,92,77,84,49,70,95,32,20,22,50,49,45,76,25,94,82,84,87,55,83,80,87,79,50,10,10,42,44,21,15,13,59,67,48,12,10,69,35,30,20,15,15
Bengals,Cedric,Peerman,HB,30,70,92,90,75,89,68,74,73,20,14,14,29,46,32,91,64,84,88,84,52,79,74,60,83,86,29,10,10,32,39,27,28,20,64,71,65,20,20,79,35,30,20,15,15
Bengals,Rex,Burkhead,HB,33,68,80,86,68,87,62,82,79,34,28,26,54,62,44,91,65,87,96,88,59,72,84,64,76,82,53,20,20,20,35,15,12,20,79,76,60,20,10,64,45,40,42,35,45
Bengals,James,Wilder Jr.,HB,34,65,83,85,67,82,47,65,92,30,25,25,52,61,29,84,55,85,83,85,87,53,75,83,75,71,52,10,10,11,40,20,15,20,55,55,39,20,20,67,30,25,20,15,15
Bengals,Mike,Nugent,K,2,75,49,47,34,52,77,16,40,28,92,82,16,17,25,32,10,90,92,65,10,24,10,10,10,10,16,10,10,25,22,29,20,14,15,15,15,12,10,15,35,30,25,20,20
Bengals,Carlos,Dunlap,LE,96,90,84,88,81,82,79,39,40,9,8,10,45,45,82,84,10,86,75,55,35,27,10,10,10,10,45,71,93,75,87,76,30,49,15,15,15,72,20,20,5,5,5,5,5
Bengals,Margus,Hunt,LE,99,69,85,88,88,77,42,60,55,70,45,40,45,45,74,85,10,83,69,88,75,30,48,65,45,50,45,66,77,78,85,43,45,58,45,46,15,83,35,15,45,40,35,5,10
Bengals,Sam,Montgomery,LE,70,68,76,77,75,73,54,40,55,25,20,20,45,45,79,84,10,85,73,76,45,14,25,35,10,10,45,84,64,74,85,49,50,63,15,15,15,88,12,20,5,5,5,5,5
Bengals,Clint,Boling,LG,65,79,59,70,82,52,74,22,40,29,9,14,84,83,33,25,10,97,81,93,10,20,10,10,10,10,84,10,10,27,48,31,9,11,15,15,15,20,10,15,5,5,5,5,5
Bengals,Mike,Pollak,LG,67,79,72,76,81,65,72,45,45,30,25,25,77,84,30,50,10,73,88,72,20,12,10,30,10,10,81,10,10,20,25,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Bengals,Jayson,DiManche,LOLB,54,69,85,81,71,76,66,48,63,33,20,19,45,45,76,88,10,91,90,75,54,44,45,50,49,55,45,62,79,66,78,64,59,70,30,25,15,72,55,30,5,5,5,5,5
Bengals,Marquis,Flowers,LOLB,53,61,88,85,76,85,50,70,65,25,14,12,45,45,74,89,10,91,85,70,45,35,31,39,35,44,45,52,49,62,81,62,65,75,55,60,15,69,65,25,40,35,30,20,15
Bengals,Andrew,Whitworth,LT,77,87,48,67,94,55,92,24,40,35,20,28,92,87,37,53,13,90,78,88,40,19,10,10,10,10,86,20,20,37,40,10,15,12,12,10,10,12,10,12,5,5,5,5,5
Bengals,Marshall,Newhouse,LT,74,68,63,74,89,56,75,19,40,29,21,32,75,77,22,48,10,91,75,82,29,18,10,10,10,10,74,10,10,22,35,18,10,9,12,10,10,12,10,12,5,5,5,5,5
Bengals,Rey,Maualuga,MLB,58,76,80,85,80,76,80,45,60,10,25,21,45,45,84,68,10,89,93,95,10,54,25,15,31,36,45,78,65,74,87,75,45,55,15,15,15,93,48,12,5,5,5,5,5
Bengals,Vincent,Rey,MLB,57,73,80,81,66,76,74,58,62,22,22,25,45,45,83,75,10,93,90,79,40,30,22,10,10,10,45,65,77,75,88,74,66,81,15,15,15,63,45,12,5,5,5,5,5
Bengals,J.K.,Schaffer,MLB,50,59,74,77,75,69,67,66,66,10,25,21,45,45,81,73,10,90,92,81,35,25,45,39,41,46,55,63,47,65,73,62,51,67,15,15,15,66,52,12,5,5,5,5,5
Bengals,Kevin,Huber,P,10,80,66,70,55,64,79,31,35,42,89,90,22,19,22,39,10,95,90,60,10,19,10,10,10,10,20,15,15,14,20,19,12,31,12,10,10,12,10,12,30,30,25,20,20
Bengals,Andy,Dalton,QB,14,85,69,74,54,69,81,12,66,86,12,19,14,13,15,66,10,96,91,94,20,20,55,25,55,56,14,10,10,12,23,10,12,12,15,15,15,12,10,15,85,83,83,84,76
Bengals,Jason,Campbell,QB,17,76,72,71,59,70,74,37,60,89,26,21,11,11,27,67,10,88,90,90,42,30,60,56,60,63,11,10,10,27,40,14,14,17,25,15,20,12,10,20,78,76,65,76,78
Bengals,A.J.,McCarron,QB,5,72,72,74,52,64,60,35,69,84,15,12,11,14,20,70,10,94,92,89,33,44,52,31,49,55,11,10,10,21,19,31,13,12,15,15,15,12,10,15,85,78,64,76,79
Bengals,Matt,Scott,QB,8,65,82,91,49,87,42,54,72,88,25,20,28,25,36,78,25,88,94,84,26,63,80,39,79,82,28,10,10,30,35,15,19,25,35,39,30,20,10,29,78,73,69,55,85
Bengals,Robert,Geathers,RE,91,76,78,86,75,74,82,22,40,24,15,17,45,45,76,69,10,93,79,80,30,33,10,10,10,10,45,49,83,66,79,81,22,33,12,10,10,60,10,12,5,5,5,5,5
Bengals,Wallace,Gilberry,RE,95,73,74,80,69,69,76,45,35,25,24,24,45,45,75,75,10,90,80,80,40,24,20,45,15,15,45,82,63,72,75,67,30,55,15,10,10,70,35,12,10,10,10,10,10
Bengals,Will,Clarke,RE,93,68,79,84,76,72,53,38,35,17,21,20,45,45,74,78,10,87,78,86,29,15,35,33,35,35,45,78,59,76,83,65,20,39,15,15,10,73,10,12,5,5,5,5,5
Bengals,Kevin,Zeitler,RG,68,83,60,66,91,59,77,15,40,12,18,16,89,81,25,79,10,79,88,93,20,11,10,10,10,10,85,10,10,15,21,13,13,15,15,15,15,20,10,15,5,5,5,5,5
Bengals,T.J.,Johnson,RG,60,68,53,67,86,52,65,45,45,30,25,25,76,75,35,65,10,92,80,70,20,12,10,30,10,10,79,10,10,20,32,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Bengals,Vontaze,Burfict,ROLB,55,88,76,85,79,75,82,59,59,22,12,10,45,45,91,80,10,96,93,93,45,15,25,55,25,20,45,84,60,88,95,85,70,84,35,33,10,95,45,20,5,5,5,5,5
Bengals,Sean,Porter,ROLB,56,70,78,89,70,86,60,54,65,25,20,20,45,45,77,85,10,78,86,74,45,49,46,45,55,45,45,66,82,63,81,69,62,73,35,25,15,65,78,25,5,5,5,5,5
